Video,Frame_number,Timestamp,Kermit,Pigs,Miss Piggy,Cook,StatlerWaldorf,Rowlf the Dog,Fozzie Bear
211,0,00:00.00,0,0,0,0,0,0,0
211,1,00:00.04,0,0,0,0,0,0,0
211,2,00:00.08,0,0,0,0,0,0,0
211,3,00:00.12,0,0,0,0,0,0,0
211,4,00:00.16,0,0,0,0,0,0,0
211,5,00:00.20,0,0,0,0,0,0,0
211,6,00:00.24,0,0,0,0,0,0,0
211,7,00:00.28,0,0,0,0,0,0,0
211,8,00:00.32,0,0,0,0,0,0,0
211,9,00:00.36,0,0,0,0,0,0,0
211,10,00:00.40,0,0,0,0,0,0,0
211,11,00:00.44,0,0,0,0,0,0,0
211,12,00:00.48,0,0,0,0,0,0,0
211,13,00:00.52,0,0,0,0,0,0,0
211,14,00:00.56,0,0,0,0,0,0,0
211,15,00:00.60,0,0,0,0,0,0,0
211,16,00:00.64,0,0,0,0,0,0,0
211,17,00:00.68,0,0,0,0,0,0,0
211,18,00:00.72,0,0,0,0,0,0,0
211,19,00:00.76,0,0,0,0,0,0,0
211,20,00:00.80,0,0,0,0,0,0,0
211,21,00:00.84,0,0,0,0,0,0,0
211,22,00:00.88,0,0,0,0,0,0,0
211,23,00:00.92,0,0,0,0,0,0,0
211,24,00:00.96,0,0,0,0,0,0,0
211,25,00:01.00,0,0,0,0,0,0,0
211,26,00:01.04,0,0,0,0,0,0,0
211,27,00:01.08,0,0,0,0,0,0,0
211,28,00:01.12,0,0,0,0,0,0,0
211,29,00:01.16,0,0,0,0,0,0,0
211,30,00:01.20,0,0,0,0,0,0,0
211,31,00:01.24,0,0,0,0,0,0,0
211,32,00:01.28,0,0,0,0,0,0,0
211,33,00:01.32,0,0,0,0,0,0,0
211,34,00:01.36,0,0,0,0,0,0,0
211,35,00:01.40,0,0,0,0,0,0,0
211,36,00:01.44,0,0,0,0,0,0,0
211,37,00:01.48,0,0,0,0,0,0,0
211,38,00:01.52,0,0,0,0,0,0,0
211,39,00:01.56,0,0,0,0,0,0,0
211,40,00:01.60,0,0,0,0,0,0,0
211,41,00:01.64,0,0,0,0,0,0,0
211,42,00:01.68,0,0,0,0,0,0,0
211,43,00:01.72,0,0,0,0,0,0,0
211,44,00:01.76,0,0,0,0,0,0,0
211,45,00:01.80,0,0,0,0,0,0,0
211,46,00:01.84,0,0,0,0,0,0,0
211,47,00:01.88,0,0,0,0,0,0,0
211,48,00:01.92,0,0,0,0,0,0,0
211,49,00:01.96,0,0,0,0,0,0,0
211,50,00:02.00,0,0,0,0,0,0,0
211,51,00:02.04,0,0,0,0,0,0,0
211,52,00:02.08,0,0,0,0,0,0,0
211,53,00:02.12,0,0,0,0,0,0,0
211,54,00:02.16,0,0,0,0,0,0,0
211,55,00:02.20,0,0,0,0,0,0,0
211,56,00:02.24,0,0,0,0,0,0,0
211,57,00:02.28,0,0,0,0,0,0,0
211,58,00:02.32,0,0,0,0,0,0,0
211,59,00:02.36,0,0,0,0,0,0,0
211,60,00:02.40,0,0,0,0,0,0,0
211,61,00:02.44,0,0,0,0,0,0,0
211,62,00:02.48,0,0,0,0,0,0,0
211,63,00:02.52,0,0,0,0,0,0,0
211,64,00:02.56,0,0,0,0,0,0,0
211,65,00:02.60,0,0,0,0,0,0,0
211,66,00:02.64,0,0,0,0,0,0,0
211,67,00:02.68,0,0,0,0,0,0,0
211,68,00:02.72,0,0,0,0,0,0,0
211,69,00:02.76,0,0,0,0,0,0,0
211,70,00:02.80,0,0,0,0,0,0,0
211,71,00:02.84,0,0,0,0,0,0,0
211,72,00:02.88,0,0,0,0,0,0,0
211,73,00:02.92,0,0,0,0,0,0,0
211,74,00:02.96,0,0,0,0,0,0,0
211,75,00:03.00,0,0,0,0,0,0,0
211,76,00:03.04,0,0,0,0,0,0,0
211,77,00:03.08,0,0,0,0,0,0,0
211,78,00:03.12,0,0,0,0,0,0,0
211,79,00:03.16,0,0,0,0,0,0,0
211,80,00:03.20,0,0,0,0,0,0,0
211,81,00:03.24,0,0,0,0,0,0,0
211,82,00:03.28,0,0,0,0,0,0,0
211,83,00:03.32,0,0,0,0,0,0,0
